Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
DLA PHARMACEUTICAL LTDA,DLA PHARMA,IGARAPAVA,436,JD ALPINO,CATANDUVA,15810255,SP
DM2 LIMPEZA E CONSERVACAO LIMITADA,DM2 SERVICOS TERCEIRIZADOS,SARA ALVARADO BERTANHOLI,742,JARDIM MONTE VERDE,VALINHOS,13275054,SP
DM3 ENGENHARIA LTDA,DM3 ENGENHARIA,JOSE GETULIO,579,LIBERDADE,SAO PAULO,01509001,SP
DMB MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA,DMB,MARGINAL FRANCISCO VIEIRA CALEIR,700,DISTRITO INDUSTRIAL,SERTAOZINHO,14171200,SP
DMC IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS LTDA.,,DR. SEBASTIAO DE MORAES,831,PQ.SANTA FELICIA JD.,SAO CARLOS,13562030,SP
DMCARD PROCESSAMENTO DE DADOS E CENTRAL DE ATENDIMENTO LTDA,,CASSIANO RICARDO,521,PARQUE RESIDENCIAL AQUARIUS,SAO JOSE DOS CAMPOS,12246870,SP
DMDL MONTAGENS DE STANDS LTDA.,DMDL MONTAGENS,DOUTOR MELLO NOGUEIRA,105,VILA BARUEL,SAO PAULO,02510040,SP
DMFLEX INDUSTRIA E COMERCIO DE METAIS LTDA.,,MASATO SAKAI,559,JARDIM TRIANGULO,FERRAZ DE VASCONCELOS,08538300,SP
DMG - PRODUTOS ALIMENTICIOS LTDA.,DMG - PRODUTOS ALIMENTICIOS,THIRSO MICALI,S/N,ZONA RURAL,TAQUARITINGA,15900000,SP
DMJ SERVICOS TERCEIRIZADOS RP EIRELI,,CORONEL FERNANDO FERREIRA LEITE,1520,JARDIM CALIFORNIA,RIBEIRAO PRETO,14026020,SP
DMS INSTALACOES INDUSTRIAIS LTDA.,DMS INSTALACOES INDUSTRIAIS,TEREZA CRIVAL SUZEGAN,413,CORREGO BONITO,SANTO ANTONIO DE POSSE,13830000,SP
DNA PROMO RH EIRELI,******************************,DOUTOR VIRGILIO DE CARVALHO PINTO,568,PINHEIROS,SAO PAULO,05415030,SP
DNP - TERRAPLENAGEM E PAVIMENTADORA FORESTO LTDA.,,DR.JOAO J.RODRIGUES,S/N,MANDISSUNGA,TIETE,18530000,SP
DNR TELESERVICOS LTDA,DNR - GESTAO EMPRESARIAL E BANCARIA EM COBRANCAS,CELSO GARCIA,5966,TATUAPE,SAO PAULO,03064000,SP
DNS CONSTRUCOES E SERVICOS EIRELI,,PORTO DA FOLHA,115,CIDADE PATRIARCA,SAO PAULO,03552020,SP
DOAL PLASTIC INDUSTRIA E COMERCIO LTDA,DOAL PLASTIC,"DIRCEU DIAS CARNEIRO,",151,DISTRITO INDUSTRIAL II,SANTA BARBARA D'OESTE,13457198,SP
DOCA TRANSPORTES E LOGISTICA LTDA.,DOCA SERVICOS DE LOGISTICA LTDA.,RUMI DE RANIERI,26,PARQUE SAO DOMINGOS,SAO PAULO,05125150,SP
DOCPRINT SERVICE TECNOLOGIA LTDA,,BELO HORIZONTE,220,VILA SANTO ANTONIO,COTIA,06708321,SP
DOCUMENTA CLINICA RADIOLOGICA LTDA,DOCUMENTA - CENTRO AVANCADO DE DIAGNOSTICO POR IMAGEM,BERNARDINO DE CAMPOS,980,CENTRO,RIBEIRAO PRETO,14015130,SP
DOFER ENGENHARIA E CONSTRUCOES LTDA,,PRESIDENTE WILSON,1147,GONZAGUINHA,SAO VICENTE,11320001,SP
DOHLER AMERICA LATINA LTDA.,,MIGUEL GUIDOTTI,905,CHACARA BAIANA,LIMEIRA,13485342,SP
DOIS CC SEGURANCA EIRELI,,BEZERRA DE MENEZES,248,JARDIM TRANQUILIDADE,GUARULHOS,07051160,SP
DOIS CUNHADOS IMPORTACAO E EXPORTACAO DE GENEROS ALIMENTICIOS LTDA,,LOURENCO BELLOLI,803,VILA MENCK,OSASCO,06268110,SP
DOKA BRASIL FORMAS PARA CONCRETO LTDA,,GUILHERME LINO DOS SANTOS,756,JARDIM FLOR DO CAMPO,GUARULHOS,07190010,SP
DOLCCINI CALCADOS LTDA,,SINESIO PAES DE BARROS,707,JARDIM MARIA CIBELE,JAU,17208420,SP
DOLFIN INDUSTRIA E COMERCIO LTDA,DOLFIN,ARMANDO STECK,441,VL BOSSI,LOUVEIRA,13290000,SP
DOM HENRIQUE CHOPERIA E RESTAURANTE LTDA,DOM HENRIQUE,DOUTOR GUILHERME CAMPOS,500,SANTA GENEBRA,CAMPINAS,13080290,SP
DOMANI PARTICIPACOES LTDA,DOMANI MOVEIS,MARIA DE LOURDES,464,JARDIM MARIA HELENA,DIADEMA,09981380,SP
DOMICILI INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,,JOSE CAMPANELLA,380,MACEDO,GUARULHOS,07112100,SP
DOMINGUES E PINHO CONTADORES LTDA.,DOMINGUES E PINHO CONTADORES,DO PARAISO,45,PARAISO,SAO PAULO,04103000,SP
DOMINGUES PAES EMPRESA DE SEGURANCA - EIRELI,,PRESCILIANO PINTO,1140,BOA VISTA,SAO JOSE DO RIO PRETO,15025100,SP
DOMINGUEZ & SAICALI CONFECCOES LTDA,JUPITER CONFECCOES,REGIS BITTENCOURT,1674,JARDIM MONTE ALEGRE,TABOAO DA SERRA,06768100,SP
DOMINIO TRANSPORTADORA TURISTICA LTDA,DOMINIO,MARIA GARCIA UTRILLA,454,CUMBICA,GUARULHOS,07230640,SP
DOMINION INSTALACOES E MONTAGENS DO BRASIL LTDA,,JOAO COLLINO,248,CENTRO,OSASCO,06013020,SP
DOMINIUM STOCK E SISTEMAS DE TREINAMENTO EIRELI,,DR. COSTA JUNIOR,194,AGUA BRANCA,SAO PAULO,05002000,SP
DON MARCHE SERVICOS DE ALIMENTACAO LTDA,,DOMINGOS LOPES DA SILVA,890,VILA SUZANA,SAO PAULO,05641030,SP
DON PACO MOVEIS LTDA,LOJAS DON PACO,PREFEITO CASSIANO GONCALVES PASSOS,93,CENTRO,FRANCISCO MORATO,07901005,SP
DONA DEOLA INDUSTRIA DE PAES E CONFEITARIA LTDA,DONA DEOLA,POMPEIA,1937,VILA POMPEIA,SAO PAULO,05023001,SP
DONALDSON DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA,,DOM PEDRO I (SP-65),S/N,SITIO DA MOENDA,ITATIBA,13252800,SP
DONGWON BRASIL FABRICACAO DE AUTO PECAS LTDA.,DONGWON METAL DO BRASIL,RODOVIA DO ACUCAR SP308 A RODOVIA ESTADUAL SP127,S/N,TAQUARAL,RIO DAS PEDRAS,13390000,SP
DONNOPLAST MANUFATURADOS DE PAPEIS E PLASTICOS LTDA,DONNOPLAST RECICLAGENS,VITORINO MONTEIRO,962,DISTRITO INDUSTRIAL,ITARARE,18460000,SP
DOOWON FABRICANTE DE SISTEMAS AUTOMOTIVOS BRASIL LTDA,DOOWON BRASIL,COREIA DO SUL,1150,PARQUE AUTOMOTIVO,PIRACICABA,13413130,SP
DOOWON REFRIGERACAO DE SISTEMAS AUTOMOTIVOS BRASIL LTDA.,DOOWON RERIGERACAO,JOAQUIM BOER,851,SANTA CRUZ,AMERICANA,13477360,SP
DOREMUS ALIMENTOS LTDA,,SANTA MARIA DO PARA,32/42,BONSUCESSO,GUARULHOS,07175400,SP
DORIVAL PENIDO CEREGATTO EIRELI,,2,1082,JDM REMANSO,SANTA GERTRUDES,13510000,SP
DORMAKABA BRASIL SOLUCOES DE ACESSO LTDA.,DORMAKABA,PIRACEMA 1400,1400,CENTRO EMPRESARIAL TAMBORE,BARUERI,06460933,SP
DORMER PRAMET SOLUCOES PARA USINAGEM LTDA,DORMER PRAMET,JOAO PAULO DA SILVA,258,VILA DA PAZ,SAO PAULO,04777020,SP
DOTSERV TERCEIRIZACAO E FACILITIES LTDA,,DOS JURUPIS,1817,INDIANOPOLIS,SAO PAULO,04088006,SP
DOUBLEC GESTAO LTDA,DOUBLEC GESTAO,HENRIQUETA MENDES GUERRA,1.330,CENTRO,BARUERI,06401015,SP
DOVAC INDUSTRIA E COMERCIO LTDA,,DOS CASA,2401,DOS CASA,SAO BERNARDO DO CAMPO,09840000,SP
DOVALE INDUSTRIA E COMERCIO DE CHAVES LTDA,,WILTON REIS COSTA,70,ELDORADO,SAO JOSE DOS CAMPOS,12238574,SP
DOW AGROSCIENCES INDUSTRIAL LTDA,,DAS NACOES UNIDAS,14171,SANTO AMARO,SAO PAULO,04794000,SP
DOW BRASIL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,,DAS NACOES UNIDAS,14171,SANTO AMARO,SAO PAULO,04794000,SP
DOW CORNING DO BRASIL LTDA,,"JORNALISTA FRANCISCO AGUIRRA PROENCA,",S/N,CHACARAS ASSAY,HORTOLANDIA,13186903,SP
DP BARROS - PAVIMENTACAO E CONSTRUCAO LTDA,DP BARROS,QUITANDUBA,165,CAXINGUI,SAO PAULO,05516030,SP
DP SERVICOS E COMERCIO DE PRODUTOS TERMOPLASTICOS EIRELI,DELTA PROMO,PAULISTA 37,37,BELA VISTA,SAO PAULO,01311902,SP
DPF AUTO-PECAS LIMITADA,,OSASCO,1.129,SITIO JUQUERI-MIRIM,CAJAMAR,07750020,SP
"DPNY COMUNICACAO, ASSESSORIA, DESENVOLVIMENTO E ADMINISTRACAO DE PROJETOS HOTELEIROS LTDA.",,JOSE PACHECO DO NASCIMENTO,7668,CURRAL,ILHABELA,11630000,SP
DPZ&T COMUNICACOES LTDA,DPZ&T,PRESIDENTE JUSCELINO KUBITSCHEK 1909,1909,VILA NOVA CONCEICAO,SAO PAULO,04543907,SP
DR CONSTRUTORA E SERVICOS LTDA,DR,TAIPAS DE PEDRA,2631,ALTO DA SERRA MAILASQUI,SAO ROQUE,18143420,SP
DR. CONSULTA CENTRO MEDICO LTDA,,PRESIDENTE JUSCELINO KUBITSCHEK 1830,1830,VILA NOVA CONCEICAO,SAO PAULO,04543900,SP
DR. OETKER BRASIL LTDA.,DR. OETKER,JOAQUIM LAPAS VEIGA,239,JARDIM DO LAGO,SAO PAULO,05550010,SP
DR.GHELFOND DIAGNOSTICO MEDICO LTDA,GHELFOND MEDICINA DIAGNOSTICA,ANGELICA,1045,HIGIENOPOLIS,SAO PAULO,01227100,SP
DRAGER INDUSTRIA E COMERCIO LTDA.,,PUCURUI,51,CT INDL TAMBORE,BARUERI,06460100,SP
DRAGER SAFETY DO BRASIL EQUIPAMENTOS DE SEGURANCA LTDA.,DRAGER SAFETY DO BRASIL LTDA.,PUCURUI,61,TAMBORE,BARUERI,06460100,SP
DRASTOSA INDUSTRIAS TEXTEIS LTDA,DRASTOSA,LUIZ GATTI,603,LAPA,SAO PAULO,05038150,SP
DRAVA METAIS LTDA,,ARNALDO MAGNICCARO,230,JURUBATUBA,SAO PAULO,04691060,SP
DRESS & GO ALUGUEL E VENDA DE VESTUARIO E ACESSORIOS S.A.,,SANTA JUSTINA,352,VILA OLIMPIA,SAO PAULO,04545041,SP
DRESSER-RAND DO BRASIL LTDA.,,LAZARO GONCALVES DE OLIVEIRA,2100,SANTA RITA,SANTA BARBARA D'OESTE,13458626,SP
DRIA - IMPLEMENTOS AGRICOLAS LTDA,,ATILIO BALBO,S/N,SETOR INDUSTRIAL,SERTAOZINHO,14173000,SP
DRIF EMPREITEIRA DE CONSTRUCOES LTDA,,DOUTOR SAMPAIO VIDAL,265,VILA FORMOSA,SAO PAULO,03356060,SP
DRIVEWAY INDUSTRIA BRASILEIRA DE AUTO PECAS LTDA,DRIVEWAY,SANTA EMILIA,35,JARDIM STA EMILIA,SAO PAULO,04183000,SP
DRO SERVICOS DE SAUDE LTDA,GRUPO DRO,DO CAPUAVA,4421,PAISAGEM RENOIR,COTIA,06715410,SP
DROGAL FARMACEUTICA LTDA,FARMACIA DO POVO,GOV PEDRO DE TOLEDO,00926,CENTRO,PIRACICABA,13400060,SP
DROGAMAR ATACADO E VAREJO LTDA,FARMACIA DROGAMAR,LUIZ PEREIRA BARRETO,44,CENTRO,ARACATUBA,16010320,SP
DROGAMAX HIPERFARMA PRODUTOS FARMACEUTICOS EIRELI,,LUIZ PEREIRA BARRETO,130,CENTRO,ARACATUBA,16010320,SP
DROGARIA MARCELO LTDA,DROGARIA DO MARCELO,PRUDENTE DE MORAES,283,VILA PRUDENTE DE MORAES,ITATIBA,13251370,SP
DROGARIA NOVA ESPERANCA LTDA,,CABO ADAO PEREIRA,82,VILA PEREIRA BARRETO,SAO PAULO,02936010,SP
DROGARIA ONOFRE LTDA,ONOFRE,DA SE,174,SE,SAO PAULO,01001000,SP
DROGARIAS DROGAVERDE LTDA,,BARUEL,439,CASA VERDE,SAO PAULO,02522000,SP
DROID TECNOLOGIA PROMOCIONAL LTDA,,AMADEO LUIZ BONINI,160,ASSUNCAO,SAO BERNARDO DO CAMPO,09810020,SP
DROM INTERNACIONAL FRAGRANCIAS INDUSTRIA E COMERCIO LTDA.,DROM INTERNACIONAL,NATALINO VERDI,120,BELA VISTA,CHARQUEADA,13515000,SP
DRS ADMINISTRACAO DE ESTOQUES LTDA,DRS SUPORTEMED,ANHANGUERA,S/N,VILA JAGUARA,SAO PAULO,05113000,SP
DRYMOM SERVICOS DE  MONTAGEM E MANUTENCAO INDUSTRIAL EIRELI,,EUGENIO RONCON,946,RONCON,RIBEIRAO PIRES,09411000,SP
DS PLUS COMERCIO DE EQUIPAMENTOS ELETRONICOS E SERVICOS LTDA,DS PLUS,BOA VISTA,317,BOA VISTA,SAO CAETANO DO SUL,09572300,SP
DS2 ENGENHARIA E COMERCIO LTDA,,FERNAO DIAS,S/N,PENHA,BRAGANCA PAULISTA,12929598,SP
DSF DESENVOLVIMENTO DE SISTEMAS FISCAIS LTDA,DSF DESENVOLVIMENTO DE SISTEMAS FISCAIS,SANTOS,1787,CERQUEIRA CESAR,SAO PAULO,01419002,SP
DSM PRODUTOS NUTRICIONAIS BRASIL S.A.,,ENGENHEIRO BILLINGS,1729,JAGUARE,SAO PAULO,05321010,SP
DSO REPRESENTACAO COMERCIAL LTDA,,JOSE COSTA DE MESQUITA,691,CHACARA ALVORADA,INDAIATUBA,13337200,SP
DSOP EDUCACAO FINANCEIRA LTDA,DSOP EDUCACAO FINANCEIRA,PAULISTA,726,BELA VISTA,SAO PAULO,01310100,SP
DSV AIR & SEA LOGISTICA LTDA.,,ENGENHEIRO LUIZ CARLOS BERRINI,1511,CIDADE MONCOES,SAO PAULO,04571011,SP
DSV UTI AIR & SEA AGENCIAMENTO DE TRANSPORTES LTDA.,,ENGENHEIRO LUIZ CARLOS BERRINI,105,CIDADE MONCOES,SAO PAULO,04571010,SP
DT ENGENHARIA DE EMPREENDIMENTOS LTDA,FLOTFLUX,MAMORE,911,ALPHAVILLE INDUSTRIAL,BARUERI,06454040,SP
DTA ENGENHARIA LTDA,,JERONIMO DA VEIGA,45,ITAIM BIBI,SAO PAULO,04536000,SP
DTC TRADING EIRELI,,RICARDO CAVATTON,166,LAPA,SAO PAULO,05038110,SP
DTEC - COMERCIAL E CONSTRUTORA - EIRELI,,EZEQUIEL FREIRE,556,SANTANA,SAO PAULO,02034002,SP
DTP COMUNICACAO VISUAL LTDA,DTP PRODUCAO GRAFICA,ANTONIO MILENA,1293,CAMPOS ELISEOS,RIBEIRAO PRETO,14080560,SP
DTS SISTEMAS E TELEATENDIMENTO EIRELI,QUALITY CONTACT CENTER,THEREZA MARIA LUIZETTO,124,VILA SANTA LUZIA,TABOAO DA SERRA,06754010,SP
DU PONT DO BRASIL S A,DU PONT,ITAPICURU,506,ALPHAVILLE,BARUERI,06454080,SP
DU PORTO INDUSTRIA ALIMENTICIA LTDA,,DOS TRABALHADORES,800,CANGUERA,PORTO FELIZ,18540000,SP
DU TRIGO PAES E DOCES LTDA .,,DOS CICLAMES,217,VILA LUCIA,SAO PAULO,03146010,SP
DUACO EMPREENDIMENTOS IMOBILIARIOS LIMITADA,DUACO EMPREENDIMENTOS LTDA,DO MANGANES,451,DISTRITO INDUSTRIAL,ASSIS,19812080,SP
DUAL JOBS SERVICOS DE APOIO ADMINISTRATIVO - EIRELI,DUAL JOBS SERVICOS INTEGRADOS,SILVA JARDIM,3996,VILA SANTA CRUZ,SAO JOSE DO RIO PRETO,15014050,SP
DUAL SEG SEGURANCA PATRIMONIAL LTDA,,IVETE GABRIEL ATIQUE,518,VILA MARIA,SAO JOSE DO RIO PRETO,15025400,SP
