Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
M4F SERVICOS EMPRESARIAIS LTDA,M4F SERVICES.,ALBION,160,LAPA,SAO PAULO,05077130,SP
M8X SERVICOS DE CARGA E DESCARGA LTDA,M8X SERVICOS DE CARGA E DESCARGA,JOSE MELONI,295,VILA MOGILAR,MOGI DAS CRUZES,08773120,SP
MA COMERCIO E SERVICOS EIRELI,,DO PESSEGO,2101,ITAQUERA,SAO PAULO,08260001,SP
MABRACO-MATERIAIS DE CONSTRUCAO LTDA.,MABRACO,HUMBERTO MARTIGNONI,309,VILA CANTIZANI,PIRAJU,18800000,SP
MABRUK EMPRESA DE TRANSPORTES E LOGISTICA LTDA,,BEATRIZ GONCALVES FERREIRA,105,OURO FINO,RIBEIRAO PIRES,09430000,SP
MAC EMPREENDIMENTOS IMOBILIARIOS LTDA,,BRIG. FARIA LIMA,2092,JD PAULISTANO,SAO PAULO,01452000,SP
MACARRONADA ITALIANA LTDA,MACARRONADA ITALIANA,MARECHAL CARMONA,712,VILA JOAO JORGE,CAMPINAS,13041311,SP
MACBOOT INDUSTRIA E COMERCIO DE CALCADOS LTDA,MACBOOT,ANGELO PEDRO,2854,SAO JOSE,FRANCA,14403416,SP
MACCAFERRI DO BRASIL LTDA,,JOSE BENASSI,2601,DISTRITO INDUSTRIAL FAZGRAN,JUNDIAI,13213085,SP
MACCHIONE PROJETO CONSTRUCAO E PAVIMENTACAO LTDA,MACCHIONE,SERGIPE,2300,VILA PAULISTA,CATANDUVA,15803160,SP
MACCRO EMBALLAGE INDUSTRIA E COMERCIO LTDA,,ASSIS CHATEAUBRIAND,S/N,TREVO RODOVIARIO,PRESIDENTE PRUDENTE,19053180,SP
MACEDO TRANSPORTES PESADOS LTDA,,MANOEL BENTO DA CRUZ,67,VILA CLARICE,SAO PAULO,05177270,SP
MACER DISTRIBUIDORA LTDA.,MACER DISTRIBUIDORA,SAO PAULO,508,ALEM PONTE,SOROCABA,18013001,SP
MACHADO E DAMASIA COMERCIO DE COSMETICOS E PERFUMARIA LTDA,MACHADO & DAMASIA,FELICIO MARCONDES,51,CENTRO,GUARULHOS,07010030,SP
"MACHADO MEYER,SENDACZ E OPICE ADVOGADOS",MACHADO MEYER,CONSOLACAO,247,CENTRO,SAO PAULO,01301903,SP
MACHADO PORTARIA E LIMPEZA EIRELI,,JUNDIAI,34,BOQUEIRAO,PRAIA GRANDE,11701250,SP
MACK COLOR GRAFICA LTDA,,FORTE DO RIO BRANCO,71,PARQUE SAO LOURENCO,SAO PAULO,08340140,SP
MACLEAN POWER SYSTEMS DO BRASIL LTDA.,,DOUTOR ANTONIO CARLOS SALVATO,141,DISTRITO INDUSTRIAL II,MOGI MIRIM,13803571,SP
MACLEAN SERVICOS TERCEIRIZADOS LTDA,,SAO MANUEL,151,PINHEIROS,SAO PAULO,05424040,SP
MACMILLAN DO BRASIL EDIT.COML IMP E DISTRIBUIDORA LTDA,,BRIGADEIRO FARIA LIMA,1309,JARDIM PAULISTANO,SAO PAULO,01452002,SP
MACOM INSTRUMENTAL CIRURGICO INDUSTRIA LTDA,,JOAO BASSI,572,PARQUE INDUSTRIAL FERREIRA FERNANDES,GUARULHOS,07174460,SP
MACOM MALHAS DE COMPRESSAO LTDA,MACOM - MALHAS DE COMPRESSAO,ALFREDO DA COSTA FIGO,599,BAIRRO FAZENDA SANTA CANDIDA,CAMPINAS,13087534,SP
MACOPEMA INDUSTRIA E COMERCIO LTDA,,WILSON FOLADOR,1973,DISTRITO INDUSTRIAL,MONTE ALTO,15910000,SP
MACOR PRESTACAO DE SERVICOS LTDA,,SOMALIA,91,CASA VERDE,SAO PAULO,02530040,SP
MACOR SEGURANCA E VIGILANCIA LTDA,,BELIZARIO CAMPANHA,44,CASA VERDE,SAO PAULO,02521000,SP
MACPRADO PRODUTOS OFTALMICOS EIRELI,,ANTONIO HENRIQUE LARANJEIRA,700,VILA MENK,OSASCO,06268112,SP
MACRO PAINEL INDUSTRIA E COMERCIO LTDA,,JOAQUIM F CASTELAR,295,JARDIM STA CANDIDA,CAMPINAS,13087550,SP
MACROMED COMERCIO DE MATERIAL MEDICO E HOSPITALAR LTDA.,MACROMED,SETE DE SETEMBRO,1210,CENTRO,DIADEMA,09912010,SP
MACRON INDUSTRIA GRAFICA LIMITADA,,SADAE TAKAGI,407,COOPERATIVA,SAO BERNARDO DO CAMPO,09852070,SP
MACROPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,,PART EIJI KIKUTI,410,PQUE IND IMIGRANTES,SAO BERNARDO DO CAMPO,09852040,SP
MACROS PINTURAS E COMERCIO EIRELI,,CISPLATINA,53,IPIRANGA,SAO PAULO,04211040,SP
MACUCO INCORPORADORA E CONSTRUTORA LTDA.,,WASHINGTON LUIZ,375,BOQUEIRAO,SANTOS,11055001,SP
MADEARTE INDUSTRIA E COMERCIO LTDA,MADEARTE,DR FELIPE TENA,258,CHACARA PAVOEIRO,COTIA,06710540,SP
MADEIRANIT BAURU LTDA,MADEIRANIT,AMOR PERFEITO,1-6,MADUREIRA,BAURU,17020480,SP
MADEIRANIT COMERCIO DE MADEIRAS LTDA,MADEIRANIT SAO JOSE DOS CAMPOS,JOSE COBRA,1580,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,SAO JOSE DOS CAMPOS,12237001,SP
MADEIRANIT COMERCIO E INDUSTRIA DE MADEIRAS LTDA,,FERDINANDO MARCHI,1900,DISTRITO INDUSTRIAL,LEME,13612410,SP
MADEIRANIT RIBEIRAO PRETO LTDA,,"THOMAZ ALBERTO WHATELY,",1733,PARQUE INDUSTRIAL TANQUINHO,RIBEIRAO PRETO,14075390,SP
MADEMETAL INDUSTRIA DE DISPLAYS PROMOCIONAIS LTDA,,BELA VISTA DO PARAISO,1782,JARDIM PRESIDENTE DUTRA,GUARULHOS,07171000,SP
MADEMOISELLE COMERCIO & ESTETICA DE BELEZA LTDA,SPACO BE - BELEZA & ESTETICA,AUGUSTO TOLLE,696,SANTANA,SAO PAULO,02405001,SP
MADEWAL LIMEIRA INDUSTRIA E COMERCIO DE MADEIRAS EIRELI,,ANHANGUERA,S/N,DO FERRAO,LIMEIRA,13487170,SP
MADINE INDUSTRIA E COMERCIO DE MOVEIS EIRELI,MADINE,HUMBERTO BERGAMASCHI,1639,PARQUE INDUSTRIAL,ARACATUBA,16075255,SP
MADIS RODBEL SOLUCOES DE PONTO E ACESSO LTDA,MADIS,DIOGENES RIBEIRO DE LIMA,2346,ALTO DA LAPA,SAO PAULO,05458902,SP
MADO PRODUTOS DE MADEIRA EIRELI,,MARIA CONC. APAREC.ANDRADE,131,DISTRITO INDUSTRIAL,IPERO,18560000,SP
MADRI EXPRESS LOGISTICA LTDA,MADRI EXPRESS,BRASIL,532,JARDIM SAO VICENTE,ITUPEVA,13295000,SP
MADRI SERVICOS DE SEGURANCA LTDA,MADRI SEGURANCA,MANOELA LACERDA DE VERGUEIRO,90,JD ANA MARIA,JUNDIAI,13208057,SP
MADRI SERVICOS E MANUTENCAO LTDA.,,DONA MANOELA LACERDA DE VERGUEIRO,90,ANHANGABAU,JUNDIAI,13208057,SP
MAE E FILHO SERVICOS TERCEIRIZADOS EIRELI,,DAS ZINEAS,156,JD DAS INDUSTRIAS,SAO JOSE DOS CAMPOS,12240350,SP
MAEDA PESCA E LAZER LTDA,,ARCHIMEDES LAMMOGLIA,S/N,TAPERA GRANDE,ITU,13300970,SP
MAERSK BRASIL BRASMAR LTDA,,ROQUE PETRONI JUNIOR,999,VILA GERTRUDES,SAO PAULO,04707910,SP
"MAESTRAL COMERCIAL, IMPORTADORA E EXPORTADORA EIRELI",,ANTONIO FREDERICO OZANAN,11200,DISTRITO INDUSTRIAL,JUNDIAI,13213030,SP
MAESTRO SERVICOS GERAIS LTDA,MAESTRO SERVICOS GERAIS,GIOVANNI GRONCHI,2112,MORUMBI,SAO PAULO,05651002,SP
MAETERRA PRODUTOS NATURAIS LTDA,,SABIA,45,JARDIM MARIETA,OSASCO,06293040,SP
MAF - LOCACAO COMERCIO E TRANSPORTES LTDA,,DOM GABRIEL PAULINO BUENO COUTO,500,RETIRO,JUNDIAI,13212240,SP
MAFIZA EMPREITEIRA E ENGENHARIA LTDA,MAFIZA EMPREITEIRA,MARIA CURUPAITI,441,VILA ESTER (ZONA NORTE),SAO PAULO,02452001,SP
MAGAZINE LUIZA S/A,MAGAZINE LUIZA,VOLUNTARIOS DA FRANCA,1465,CENTRO,FRANCA,14400490,SP
MAGAZINE MUNDIAL LTDA,MUNDIAL,ARLINDO COLACO,375,SAO M PAULISTA,SAO PAULO,08010010,SP
MAGAZINE PIEDI LTDA,,DOZE DE OUTUBRO,186,LAPA,SAO PAULO,05073000,SP
MAGAZINE TORRA TORRA BAURU LTDA,,BATISTA DE CARVALHO,3-35,CENTRO,BAURU,17010001,SP
MAGAZINE TORRA TORRA CAMPINAS I LTDA,,TREZE DE MAIO,495,CENTRO,CAMPINAS,13010070,SP
MAGAZINE TORRA TORRA DIREITA LTDA.,,DIREITA,203,CENTRO,SAO PAULO,01002001,SP
MAGAZINE TORRA TORRA GUARULHOS LTDA,,FELICIO MARCONDES,70,CENTRO,GUARULHOS,07010030,SP
MAGAZINE TORRA TORRA ITAPETININGA LTDA,LOJA TORRA TORRA ITAPETININGA,CAMPOS SALES,500,CENTRO,ITAPETININGA,18206420,SP
MAGAZINE TORRA TORRA ITAQUAQUECETUBA LTDA,TORRA TORRA,DOS EXPEDICIONARIOS,20,CENTRO,ITAQUAQUECETUBA,08570020,SP
MAGAZINE TORRA TORRA JUNDIAI LTDA,,BARAO DE JUNDIAI,890,CENTRO,JUNDIAI,13201010,SP
MAGAZINE TORRA TORRA LARGO 13 LTDA,,TREZE DE MAIO,476,SANTO AMARO,SAO PAULO,04751000,SP
MAGAZINE TORRA TORRA LTDA,TORRA TORRA,XAVANTES,719,BRAS,SAO PAULO,03027000,SP
MAGAZINE TORRA TORRA MARILIENSE LTDA,,NOVE DE JULHO,1114,CENTRO,MARILIA,17500120,SP
MAGAZINE TORRA TORRA MAUA LTDA,,BARAO DE MAUA,257,CENTRO,MAUA,09310000,SP
MAGAZINE TORRA TORRA MOGI LTDA,TORRA TORRA MOGI,DR. DEODATO WERTHEIMER,1290,CENTRO,MOGI DAS CRUZES,08710430,SP
MAGAZINE TORRA TORRA OSASCO LTDA,,ANTONIO AGU,405,CENTRO,OSASCO,06093003,SP
MAGAZINE TORRA TORRA PENHA LTDA,LOJA TORRA TORRA,OITO DE SETEMBRO,107,PENHA DE FRANCA,SAO PAULO,03606030,SP
MAGAZINE TORRA TORRA PINHEIROS LTDA,,TEODORO SAMPAIO,2487,PINHEIROS,SAO PAULO,05405250,SP
MAGAZINE TORRA TORRA PIRACICABA LTDA,,GOVERNADOR PEDRO DE TOLEDO,945,CENTRO,PIRACICABA,13400070,SP
MAGAZINE TORRA TORRA PRUDENTE LTDA,,TENENTE NICOLAU MAFFEI,335,CENTRO,PRESIDENTE PRUDENTE,19010010,SP
MAGAZINE TORRA TORRA RIO PRETO LTDA,TORRA TORRA,PRUDENTE DE MORAES,3097,CENTRO,SAO JOSE DO RIO PRETO,15010020,SP
MAGAZINE TORRA TORRA S B C LTDA,,MARECHAL DEODORO,1216,CENTRO,SAO BERNARDO DO CAMPO,09710012,SP
MAGAZINE TORRA TORRA S J C LTDA,,SETE DE SETEMBRO,211,CENTRO,SAO JOSE DOS CAMPOS,12210260,SP
MAGAZINE TORRA TORRA SANTANA LTDA,TORRA TORRA,CRUZEIRO DO SUL,3108,SANTANA,SAO PAULO,02030200,SP
MAGAZINE TORRA TORRA SANTO ANDRE LTDA,,COR. OLIVEIRA LIMA,360,CENTRO,SANTO ANDRE,09010000,SP
MAGAZINE TORRA TORRA SAO MIGUEL LTDA,TORRA TORRA,SALVADOR DE MEDEIROS,326,SAO MIGUEL PAULISTA,SAO PAULO,08010020,SP
MAGAZINE TORRA TORRA SAO VICENTE LTDA,,MARTIM AFONSO,499,CENTRO,SAO VICENTE,11310011,SP
MAGAZINE TORRA TORRA SOROCABA LTDA,,BARAO DO RIO BRANCO,216,CENTRO,SOROCABA,18010171,SP
MAGAZINE TORRA TORRA SUZANO LTDA,,GEN FRANCISCO GLICERIO,516,CENTRO,SUZANO,08674000,SP
MAGAZINE TORRA TORRA TAUBATE LTDA,,DONA CHIQUINHA DE MATTOS,385,CENTRO,TAUBATE,12020010,SP
MAGGI ADMINISTRADORA DE CONSORCIOS LTDA,CONSORCIO MAGGI,DR. OCTAVIANO PEREIRA MENDES,1100,CENTRO,ITU,13301000,SP
MAGGI CAMINHOES LTDA.,,MUNICIPAL DO JACU,75,PQ. N. S. CANDELARIA,ITU,13310220,SP
MAGIC GAMES EMPREENDIMENTOS COMERCIAIS LTDA,,JOSE GUIDE,1000,DISTRITO INDUSTRIAL,SAO JOSE DO RIO PRETO,15035500,SP
MAGIC TASTE COMERCIO DE ALIMENTOS LTDA,MC DONALDS,ALBINO JOSE BARBOSA DE OLIVEIRA,1430,BARAO GERALDO,CAMPINAS,13084008,SP
MAGICCOMP ENGENHARIA E SERVICOS DE INFORMATICA LTDA,,YARA,223,VILA YARA,OSASCO,06028110,SP
MAGICFLEX INDUSTRIA E COMERCIO DE MOVEIS LTDA,MAGICFLEX,ANHANGUERA KM 225,2320,AREIA BRANCA,PORTO FERREIRA,13660000,SP
MAGILE TRANSPORTES LTDA,MAGILE,NICOLAS BOER,642,PARQUE INDUSTRIAL TOMAS EDSON,SAO PAULO,01140060,SP
MAGMA SOLDAS INDUSTRIA E COMERCIO LTDA,MAGMA SOLDAS,AGOSTINO TOGNERI,92,JURUBATUBA,SAO PAULO,04690090,SP
MAGNA DO BRASIL PRODUTOS E SERVICOS AUTOMOTIVOS LTDA,,MIGUEL MELHADO CAMPOS,S/N,MOINHO,VINHEDO,13280001,SP
MAGNA SISTEMAS CONSULTORIA S.A.,,CAPITAO ANTONIO ROSA,376,PINHEIROS,SAO PAULO,01443010,SP
MAGNAGHI AERONAUTICA DO BRASIL INDUSTRIA E COMERCIO LTDA,,JANUARIA,882,CHACARAS REUNIDAS,SAO JOSE DOS CAMPOS,12238500,SP
MAGNO LOCACAO E SERVICOS TERCEIRIZADOS LTDA,MAGNO SERVICOS GERAIS,JUNIA FERNANDES GOUVEA,105,JARDIM SANTA BRANCA,SAO PAULO,04461010,SP
MAGNO SERVICOS DE COBRANCA EIRELI,,AZEVEDO SOARES,1083,TATUAPE,SAO PAULO,03322001,SP
MAGNO SERVICOS DE PORTARIA E LIMPEZA LTDA,MAGNO SERVICOS,JOSE MARIA DE ABREU,75,JARDIM PALMARES (ZONA SUL),SAO PAULO,04457080,SP
MAGNUM INCORPORADORA COMERCIAL E CONSTRUTORA LTDA,,JULIO MARCONDES GUIMARAES,115,PARQUE CAMPOLIM,SOROCABA,18047625,SP
MAGO INDUSTRIA E COMERCIO DE ARTEFATOS DE PAPEL LTDA,,PHILIP LEINER,100,PARQUE ALEXANDRE,COTIA,06714285,SP
MAGRIN COMERCIAL LTDA,FERRO E PAPEL N S APARECIDA,JOAO MAGRIN,75,VL SAO JOSE,CORDEIROPOLIS,13490000,SP
MAGUETA ENGENHARIA LTDA,MAGUETA ENGENHARIA,TENENTE MILENKO,349,JARDIM LOS ANGELES,PERUIBE,11750000,SP
MAHLE BEHR GERENCIAMENTO TERMICO BRASIL LTDA,,DOS FERNANDES,510,MIRANTE,ARUJA,07404020,SP
MAHLE COMPRESSORES DO BRASIL LTDA.,,VICENZO GRANGHELLI,10,NUCLEO RESIDENCIAL DOUTOR JOAO ALDO NASSIF,JAGUARIUNA,13916056,SP
MAIS DISTRIBUIDORA DE VEICULOS S/A,SINAL,PROFESSOR FRANCISCO MORATO,5943,VILA SONIA,SAO PAULO,05521300,SP
MAIS SIMPLES INFORMATICA LTDA,,OSCAR FREIRE,379,CERQUEIRA CESAR,SAO PAULO,01426001,SP
MAISATIVO INTERMEDIACAO DE ATIVOS LTDA,SUPERBID,ENGENHEIRO LUIZ CARLOS BERRINI,105,CIDADE MONCOES,SAO PAULO,04571010,SP
MAISDOISX TECNOLOGIA EM DOBRO LTDA.,MAISDOISX TECNOLOGIA EM DOBRO,YOJIRO TAKAOKA,4384,ALPHAVILLE,SANTANA DE PARNAIBA,06541038,SP
MAISNOVE - MEDICINA DIAGNOSTICA LTDA,,9 DE JULHO,415,CENTRO,TAUBATE,12020200,SP
MAITTRA INDUSTRIA E COMERCIO DE ARTEFATO DE PAPEL S/A.,,UNITIKA,320,JD LUCIANI,AMERICANA,13477260,SP
MAJICPLAST EMBALAGENS LTDA,,ITAQUAQUECETUBA,667,VILA MONTE BELO,ITAQUAQUECETUBA,08577210,SP
MAJORE EMPREENDIMENTOS IMOBILIARIOS LTDA,,SERRA DA BOCAINA,570,QUARTA PARADA,SAO PAULO,03174000,SP
MAK DE JACAREI SUPERMERCADOS LTDA,,BERNARDINO DE CAMPOS,359,CENTRO,JACAREI,12308010,SP
MAKER ENGENHARIA COMERCIO E SERVICOS DE ISOLANTES LTDA,MAKER ENGENHARIA LTDA,DR. MARIO CARDIM,101,VILA CLEMENTINO,SAO PAULO,04019000,SP
MAKRO ATACADISTA S.A,,CARLOS LISDEGNO CARLUCCI,519,BUTANTA,SAO PAULO,05536900,SP
MALABAR COMERCIAL DE VEICULOS LTDA,EXPOENTE TOYOTA COMERCIAL DE VEICULOS,14 DE DEZEMBRO,3250,VILA MAFALDA,JUNDIAI,13206105,SP
MALAGUTTI & MARTINS LTDA,SUPERMERCADOS IDEAL,JUSTINO DE CASTRO,424,CENTRO,CASA BRANCA,13700000,SP
MALBER SERVICOS GRAFICOS DO BRASIL LTDA,,JOAO SAPARIPO,380,JARDIM JAU,SAO PAULO,03730010,SP
MALCO CONSTRUTORA E INCORPORADORA LTDA,,FREI CANECA,5 A,CENTRO,SANTOS,11013140,SP
MALCON METALURGICA LTDA,,SALVADOR ORLANDO,179,VILA DAINESE,AMERICANA,13469294,SP
MALHARIA BERLAN LTDA,BERLAN,JOSE SZAKALL,227,VARZEA DA BARRA FUNDA,SAO PAULO,01140120,SP
MALHARIA E CONFECCOES POLSAR EIRELI,,DINO BUENO,492,CAMPOS ELISEOS,SAO PAULO,01217000,SP
MALHARIA NAME PALMA LTDA,,AUGUSTO BARASSA,1351,SILVESTRE,AMPARO,13903050,SP
MALHARIA PARIS LTDA,,INTERDISTRITAL COMENDADOR EMILIO ROMI,810,DISTRITO INDUSTRIAL I,SANTA BARBARA D'OESTE,13456120,SP
MALHARIA SUSI LTDA,BY TILLY,DE CIRCULACAO,435,CENTRO,ARUJA,07400050,SP
"MALHAS TEDA INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO EIRELI",,SILVIO BIGNOTTO,138,DISTRITO INDUSTRIAL I,SANTA BARBARA D'OESTE,13456130,SP
MALIBER INDUSTRIA E COMERCIO TEXTIL LTDA,,LAZARA MOREIRA DA SILVA BERTONI,1900,FAZENDA MALABAR,ITATIBA,13252815,SP
MALOSSO BIOENERGIA S.A,,SANTA ADELINA,S N,,ITAPOLIS,14900000,SP
MALTA SERVICOS E TELEMARKETING LTDA,MALTA TELEMARKETING,PEDRO PROCOPIO,88,CENTRO,SANTANA DE PARNAIBA,06501130,SP
MALUCHO & MALUCHO LTDA,,SEGUNDO LOPES CARMONA,347,CENTRO,VOTORANTIM,18110200,SP
MALUGER INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTDA.,,JOAO PAULO DA SILVA,28,VILA DA PAZ,SAO PAULO,04777020,SP
MAMINFO SOLUCOES E SERVICOS EM TECNOLOGIA S.A.,MAM INFORMATICA,UMBU,265,ALPHAVILLE,CAMPINAS,13098325,SP
MAMUTH APOIO OPERACIONAL EIRELI,MAMUTH CONSTRUCOES,PEDRO BOLGIONE,116,CIDADE DA SAUDE,ITAPEVI,06693015,SP
MAMUTH TRANSPORTE DE MAQUINAS LTDA,,TURISTICA DO JARAGUA,606,JARDIM JARAGUA,SAO PAULO,05161000,SP
MANAGER ONLINE SERVICOS DE INTERNET LTDA.,,JUARI,262,TAMBORE,BARUERI,06460090,SP
MANDAE SERVICOS DE CONSULTORIA EM LOGISTICA S/A,,PADRE MELITON VIGUEIRA PENILLOS,132,VILA LEOPOLDINA,SAO PAULO,05305070,SP
MANDAGLIO CONSTRUTORA E INCORPORADORA LTDA,MANDAGLIO ENGENHARIA,DR. GUSTAVO DE GODOI,576,VILA NAIR,PINDAMONHANGABA,12400040,SP
MANDIC S.A.,,PEDROSO DE MORAES,433,PINHEIROS,SAO PAULO,05419000,SP
MANDO CORPORATION DO BRASIL INDUSTRIA E COMERCIO DE AUTO PECAS LTDA.,,STANLEY,2888,JARDIM PAINEIRAS I - DISTRITO INDUSTRIAL,LIMEIRA,13482860,SP
MANDO MACHINERY DISTRIBUIDORA DE AUTO PECAS LTDA.,MANDO,FERNANDES SILVA,296,BRAS,SAO PAULO,03005010,SP
MANETONI CENTRAL DE SERVICOS LTDA,MANETONI,SP 308,KM 146,DISTRITO INDUSTRIAL,RIO DAS PEDRAS,13390000,SP
MANETONI COMERCIO E SERVICOS INDUSTRIAIS LTDA,,SP 308,KM 146,DISTRITO INDUSTRIAL,RIO DAS PEDRAS,13390000,SP
MANETONI DISTRIBUIDORA DE PRODUTOS SIDERURGICOS IMPORTACAO E EXPORTACAO LTDA,MANETONI,LOURENCO BELLOLI,600,VILA MENCK,OSASCO,06268110,SP
MANFRIM LOGISTICA LTDA,MANFRIM LOGISTICA LTDA,SANTA AMALIA,S/N,"DA MANDASSAIA 245,28 MTS",SANTA CRUZ DO RIO PARDO,18900000,SP
"MANHATTAN TRANSPORTES, LOGISTICA E ARMAZENS GERAIS LTDA",,FERNAO DIAS,KM 82,PARQUE EDU CHAVES,SAO PAULO,02283000,SP
MANIBOM ALIMENTOS LTDA.,MANIBOM,GUIOMAR NOVAES,215,DISTRITO INDUSTRIAL,MARILIA,17512100,SP
MANIKRAFT GUAIANAZES INDUSTRIA DE CELULOSE E PAPEL LTDA,,SAO PASCAL,269,JARDIM SAO PAULO(ZONA LESTE),SAO PAULO,08430820,SP
MANLOC - MANUTENCAO E MONTAGENS INDUSTRIAIS EIRELI,MANLOC,CAMPOS SALLES,1878,VILA FAUSTINA II,VALINHOS,13272350,SP
MANN+HUMMEL BRASIL LTDA.,,FILTROS MANN,555,JD TROPICAL,INDAIATUBA,13344580,SP
MANOEL QUINTANA RODRIGUES TRANSPORTES,,GUMERCINDO DE COUTO,524,JARDIM SAO JUDAS TADEU (NOVA VENEZA),SUMARE,13180520,SP
MANPOWER PROFESSIONAL LTDA.,,DAS NACOES UNIDAS,17.891,VILA ALMEIDA,SAO PAULO,04795100,SP
MANPOWER STAFFING LTDA.,,DAS NACOES UNIDAS,17.891,VILA ALMEIDA,SAO PAULO,04795100,SP
MANSERV MONTAGEM E MANUTENCAO S/A,,ENG. LUIZ CARLOS BERRINI,1511,CIDADE DE MONCOES,SAO PAULO,04571011,SP
MANSUR DISTRIBUIDORA DE VIDROS E CRISTAIS LTDA,,MARQUES DE SAO VICENTE,1619,VARZEA DA BARRA FUNDA,SAO PAULO,01139003,SP
MANTENERE CONSERVACAO E LIMPEZA EIRELI,,TABAPUA,594,ITAIM BIBI,SAO PAULO,04533002,SP
MANTIQUEIRA SERVICOS DE SAUDE SOCIEDADE COOPERATIVA EM LIQUIDACAO,,EUNICE FERRAZ FERNANDES,151,JARDIM DO LAGO,BRAGANCA PAULISTA,12914500,SP
MANTOVA COMERCIO DE ALIMENTOS E BEBIDAS LTDA,,CAMPINAS,1127,JARDIM PAULISTA,SAO PAULO,01404001,SP
"MANTRIS - MEADM - SERVICOS, GERENCIAMENTO E ADMINISTRACAO DE RECURSOS DE SAUDE E SEGURANCA NO TRABALHO LTDA.",MERIDIONAL ADMINISTRACAO DE SAUDE,DAS NACOES UNIDAS,11633,BROOKLIN PAULISTA,SAO PAULO,04578000,SP
"MANTRIS-MIA SERVICOS, GERENCIAMENTO E ADMINISTRACAO DE RECURSOS DE SAUDE E SEGURANCA NO TRABALHO LTDA.",M & A ASSOCIADOS,DAS NACOES UNIDAS,11633,BROOKLIN PAULISTA,SAO PAULO,04578000,SP
MANUEL M. DA SILVA CONSTRUCAO EIRELI,,JOSE ANTONIO DE RISSIO,436,JARDIM PAULISTANO,SUMARE,13174570,SP
MANUFATTI REVESTIMENTOS LTDA,MANUFATTI REVESTIMENTOS,MARIO BATISTA MORI,S/N,RIO DAS PEDRAS,TATUI,18280000,SP
MANUFATURA DE METAIS MAGNET LTDA,MAGNET,XAVIER DE TOLEDO,640,VL PAULICEIA,SAO BERNARDO DO CAMPO,09692030,SP
MANUFATURACAO DE PRODUTOS PARA ALIMENTACAO ANIMAL PREMIX LTDA,PREMIX,RONAN ROCHA,S/N,ZONA RURAL,PATROCINIO PAULISTA,14415000,SP
MAO FORTE SERVICOS EMPRESARIAIS LTDA.,,TUIUTI,2992,TATUAPE,SAO PAULO,03307012,SP
MAP CONCRETO E CONSTRUCOES EIRELI,MAP CONCRETO,TOPAZIO,211,JARDIM NOMURA,COTIA,06717235,SP
MAPEL MANUTENCAO PECAS EMPILHADEIRAS LTDA,,RALPHO LEITE DE BARROS,495,JARDIM DO TREVO,CAMPINAS,13040020,SP
MAPFRE ASSISTENCIA LTDA.,,ASIA (POLO EMPRESARIAL),42,TAMBORE,SANTANA DE PARNAIBA,06543312,SP
MAPFRE PREVIDENCIA S/A,,DAS NACOES UNIDAS,11711,BROOKLIN PAULISTA,SAO PAULO,04578000,SP
MAPFRE SEGUROS GERAIS S.A.,,DAS NACOES UNIDAS,14261,VILA GERTRUDES,SAO PAULO,04794000,SP
MAPFRE VIDA S/A,,DAS NACOES UNIDAS,14261,VILA GERTRUDES,SAO PAULO,04794000,SP
MAPPEL INDUSTRIA DE EMBALAGENS S.A.,,MIRO VETORAZZO,1619,DEMARCHI,SAO BERNARDO DO CAMPO,09820130,SP
MAPRA MANGUEIRAS E ARTEFATOS DE BORRACHA INDUSTRIA E COMERCIO EIRELI EM RECUPERACAO JUDICIAL,MAPRA MANGUEIRAS,INDIO TIBIRICA,2415,BAIRRO REPRESA,RIBEIRAO PIRES,09414000,SP
MAPRIC PRODUTOS FARMACOCOSMETICOS LTDA,,DOUTOR GENTIL DE MOURA,194,IPIRANGA,SAO PAULO,04278080,SP
MAPS S.A SOLUCOES E SERVICOS,,AFONSO CELSO,552,VILA MARIANA,SAO PAULO,04119002,SP
MAQUET DO BRASIL EQUIPAMENTOS MEDICOS LTDA.,GETINGE,MANUEL BANDEIRA,291,VILA LEOPOLDINA,SAO PAULO,05317020,SP
MAQUINA DA NOTICIA COMUNICACAO LTDA.,,FIDENCIO RAMOS,308,VILA OLIMPIA,SAO PAULO,04551010,SP
MAQUINAS FURLAN LTDA  (EM RECUPERACAO JUDICIAL),,ENGENHEIRO JOAO TOSELLO SP 147,S/N,JARDIM NOVA LIMEIRA,LIMEIRA,13486264,SP
MAQUIPLAST PLASTICOS ESPECIAIS LTDA,,MARCELINA DA SILVA,16,NUCLEO MICRO INDUSTRIAL PRESIDENTE WILSON,JANDIRA,06602030,SP
MAR GIRIUS CONTINENTAL INDUSTRIA DE CONT ELETRICOS LTDA,,VICENTE ZINNI,665,VILA NOVA,PORTO FERREIRA,13660196,SP
MARA SILVIA PEZINATO,ERGOQUALI,MITSUKE,630/1,JD CRUZEIRO,MAIRINQUE,18120000,SP
MARAJO INDUSTRIA E COMERCIO DE PAPEIS LTDA,,PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA,1828,JARDIM ARUJA,GUARULHOS,07272480,SP
