Logradouro,Longitude,Latitude
"ALEGRE, SAO CAETANO DO SUL",-46.5553854,-23.6482386
"IOSOSUKE OKAUE, SAO PAULO",-46.4513351,-23.5755177
"BRIGADEIRO LUIS ANTONIO, SAO PAULO",-46.6692057,-23.5840063
"CARDOSO RIBEIRO, OURINHOS",-49.854751,-22.9788018
"ESPIRITO SANTO, SANTANA DE PARNAIBA",-46.8774461,-23.4075489
"TOQUIO, ARUJA",,
"FRANCISCO TRAMONTANO, SAO PAULO",-46.7022147,-23.6165322
"SAO PAULO, SANTOS",-46.333889,-23.960833
"LUIZ DIAS GONZAGA, PIRACICABA",-47.8572755,-22.8265139
"DOM PEDRO I, RIO GRANDE DA SERRA",,
"OTTO BARRETO, ARARAS",-47.4005696,-22.3607369
"SANTA ANA, ARARAS",-47.3838889,-22.3569477
"PAULISTA, SAO PAULO",-46.6622682,-23.5552461
"ARNALDO MAGNICCARO, SAO PAULO",-46.6870547,-23.6746031
"SAO TEODORO, SAO PAULO",-52.1688134,-22.5297229
"SERAFIM GONC PEREIRA, SAO PAULO",,
"JOAQUINA RAMALHO, SAO PAULO",-46.6080369,-23.5153719
"PAPA JOAO PAULO I, GUARULHOS",,
"CONSELHEIRO SARAIVA, RIBEIRAO PRETO",-47.8203409,-21.1705631
"GENERAL AUGUSTO SOARES DOS SANTOS, RIBEIRAO PRETO",,
"SAO DOMINGOS DO PRATA, GUARULHOS",,
"CARNEIRO DE SOUZA, TAUBATE",-45.5640944,-23.050149
"BARAO DO RIO BRANCO, GUARULHOS",,
"MANOEL DA COSTA, SAO PAULO",,
"JOSE ADORNO, SAO PAULO",-47.62025377972028,-21.9163185
"GEORG SCHAEFFLER, SOROCABA",-47.4102117,-23.445665
"BRASILIA, SALTO",-47.2913682,-23.1989983
"LINO PEIXOTO AMORIM, ITUPEVA",-47.0262009,-23.1621505
"PEIXOTO GOMIDE, SAO PAULO",-48.04784385224674,-23.58684945
"ATLANTICA, SAO BERNARDO DO CAMPO",-46.5567577,-23.6933264
"BENEDITA GUERRA ZENDRON, BARUERI",-46.8765706,-23.5105432
"JUSTINO COBRA, SAO JOSE DOS CAMPOS",-45.9009838,-23.2045018
"NELSON TARTUCE, SAO PAULO",-46.4830401,-23.5384943
"JEQUITAI, SAO PAULO",-46.4158524,-23.4338066
"ATILIO PIFFER, SAO PAULO",-46.777462923463936,-22.7110797
"FRANCISCO ALVES, SAO PAULO",-49.33347227421446,-24.113030950000002
"BELA CINTRA 986, SAO PAULO",,
"JOSE SERRANTE, JOSE BONIFACIO",,
"BATISTA DE CARVALHO, BAURU",-49.0740521,-22.3229347
"MONGAGUA, GUARUJA",-46.2912676,-23.9442844
"SEBASTIAO GALLO, AMERICANA",-47.2403177,-22.7470318
"SAO BENTO, ARUJA",-46.3030059,-23.4040283
"PAMPLONA, SAO PAULO",-46.65065892114461,-23.50724945
"GOMES NOGUEIRA, SAO PAULO",,
"JOSE TOTORA, SOROCABA",-47.4816377,-23.4650334
"SANTA INES, ESPIRITO SANTO DO PINHAL",,
"PARA, TABOAO DA SERRA",-46.802064,-23.6409509
"REPUBLICA DO LIBANO, SAO PAULO",,
"GUARARA, FRANCO DA ROCHA",-46.7057816,-23.2996918
"PAULISTA, SAO PAULO",-46.6622682,-23.5552461
"ANTONIO BORJA MEDINA, PIRACICABA",-47.5956005,-22.7281301
"DOS ESTADOS, SANTO ANDRE",,
"JOSE NABANTINO RAMOS, SAO PAULO",-46.6741838,-23.6562789
"OSMAN FONSECA, SAO PAULO",-46.6777513,-23.6664643
"OSMAN FONSECA, SAO PAULO",-46.6777513,-23.6664643
"SANTA ISABEL, CAMPINAS",-70.6753867,-33.2489928
"HOLLYWOOD, SAO PAULO",-46.5653812,-23.6746786
"DAS GARDENIAS, BARUERI",-46.84945340487099,-23.49772445
"HUNGRIA, SAO PAULO",-47.7242056,-23.1947643
"DOUTOR CHUCRI ZAIDAN, SAO PAULO",-46.6965656,-23.6157147
"DOUTOR CARDOSO DE MELO, SAO PAULO",,
"PRESIDENTE JUSCELINO KUBITSCHEK, SAO PAULO",,
"CLARK, VALINHOS",-47.0346379,-22.9966542
"JOAQUIM M DE FIGUEIREDO, BAURU",,
"DAS NACOES UNIDAS 3000, OSASCO",,
"BANDEIRA PAULISTA, SAO PAULO",-46.6742644,-23.5898421
